NAME,LTP,DC,DO,DH,DL,PDC,CH,PCH,DV,LTT,WH52,WL52,DATE_TIME,DATE_TODAY,HOUR,MIN
BHARAS,NA,5767.35,NA,NA,NA,5767.35,NA,NA,NA,09:20:18.000,6539.00,3352.10,2019-10-15 09:19:26,2019-10-15,09,19
INDOIL,146.65,144.80,145.95,146.95,145.20,144.80,1.85,+1.28,22368,09:20:29.000,170.40,116.10,2019-10-15 09:19:26,2019-10-15,09,19
COALIN,188.40,190.10,188.30,190.60,188.15,190.10,-1.70,-0.89,18050,09:20:31.000,288.30,177.80,2019-10-15 09:19:26,2019-10-15,09,19
WIPRO,244.50,243.35,244.00,245.50,244.00,243.35,1.15,+0.47,22140,09:20:33.000,301.55,220.50,2019-10-15 09:19:26,2019-10-15,09,19
HERHON,2620.20,2609.25,2616.85,2624.00,2615.00,2609.25,10.95,+0.42,359,09:20:34.000,3382.70,2228.25,2019-10-15 09:19:26,2019-10-15,09,19
BRIIND,3135.00,3107.20,3139.90,3146.00,3125.65,3107.20,27.80,+0.89,1156,09:20:35.000,3443.90,2302.00,2019-10-15 09:19:26,2019-10-15,09,19
UNIP,582.55,586.95,585.30,585.30,580.95,586.95,-4.40,-0.75,6435,09:20:35.000,709.25,390.53,2019-10-15 09:19:26,2019-10-15,09,19
DRREDD,2661.60,2648.90,2663.10,2663.10,2659.80,2648.90,12.70,+0.48,139,09:20:37.000,2965.20,2065.30,2019-10-15 09:19:26,2019-10-15,09,19
ADAPOR,409.55,406.95,409.50,410.00,407.60,406.95,2.60,+0.64,2380,09:20:39.000,430.00,293.95,2019-10-15 09:19:26,2019-10-15,09,19
GRASIM,697.65,698.65,699.00,699.00,693.75,698.65,-1.00,-0.14,2023,09:20:41.000,958.55,635.60,2019-10-15 09:19:26,2019-10-15,09,19
VEDLIM,146.35,147.85,147.50,147.50,146.10,147.85,-1.50,-1.01,10280,09:20:43.000,228.00,125.70,2019-10-15 09:19:26,2019-10-15,09,19
HINDAL,186.95,188.80,188.00,188.00,186.75,188.80,-1.85,-0.98,8229,09:20:44.000,246.00,171.25,2019-10-15 09:19:26,2019-10-15,09,19
TATSTE,343.15,344.85,345.50,346.15,342.20,344.85,-1.70,-0.49,31442,09:20:44.000,610.00,320.30,2019-10-15 09:19:26,2019-10-15,09,19
EICMOT,18417.35,18311.25,18370.00,18439.90,18270.00,18311.25,106.10,+0.58,119,09:20:46.000,25300.00,15196.95,2019-10-15 09:19:26,2019-10-15,09,19
GAIL,126.10,125.85,126.50,126.85,125.90,125.85,0.25,+0.20,3214,09:20:46.000,190.98,119.65,2019-10-15 09:19:26,2019-10-15,09,19
JSWSTE,219.90,221.50,221.05,221.05,219.35,221.50,-1.60,-0.72,5411,09:20:49.000,384.90,201.90,2019-10-15 09:19:26,2019-10-15,09,19
BHAINF,256.30,259.25,258.25,258.25,256.00,259.25,-2.95,-1.14,234,09:20:49.000,333.80,238.70,2019-10-15 09:19:26,2019-10-15,09,19
CIPLA,437.75,440.85,444.00,444.00,436.00,440.85,-3.10,-0.70,3670,09:20:52.000,651.95,389.55,2019-10-15 09:19:26,2019-10-15,09,19
TATMOT,126.50,127.80,127.50,127.50,125.70,127.80,-1.30,-1.02,162190,09:20:54.000,239.30,106.00,2019-10-15 09:19:26,2019-10-15,09,19
ZEEENT,239.95,242.55,237.95,241.25,236.30,242.55,-2.60,-1.07,21821,09:20:55.000,506.10,203.70,2019-10-15 09:19:26,2019-10-15,09,19
YESBAN,40.95,40.00,41.00,41.40,40.70,40.00,0.95,+2.38,459119,09:20:57.000,285.90,29.05,2019-10-15 09:19:26,2019-10-15,09,19
BSESEN,38348.90,38214.47,38316.49,38355.31,38238.27,38214.47,134.43,+0.35,NA,09:20:58.598,NA,NA,2019-10-15 09:20:58,2019-10-15,09,20
HDFBAN,1213.20,1203.15,1210.00,1213.25,1207.80,1203.15,10.05,+0.84,3206,09:21:01.000,1285.00,942.20,2019-10-15 09:20:58,2019-10-15,09,20
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,0.65,+0.50,2225733,15:30:03.000,152.95,68.10,2019-10-15 09:20:58,2019-10-15,09,20
HDFC,2029.70,2011.50,2013.00,2030.05,2013.00,2011.50,18.20,+0.90,1094,09:21:02.000,2357.00,1646.00,2019-10-15 09:20:58,2019-10-15,09,20
INFTEC,767.85,785.65,773.80,774.75,767.25,785.65,-17.80,-2.27,53421,09:21:05.000,847.40,600.65,2019-10-15 09:20:58,2019-10-15,09,20
ICIBAN,431.20,428.60,430.00,432.00,428.00,428.60,2.60,+0.61,12770,09:21:07.000,458.45,309.60,2019-10-15 09:20:58,2019-10-15,09,20
ITC,246.00,244.20,247.40,247.40,245.10,244.20,1.80,+0.74,13588,09:21:09.000,310.00,234.10,2019-10-15 09:20:58,2019-10-15,09,20
