NAME,LTP,DC,DO,DH,DL,PDC,DATE_TIME,DATE_TODAY,HOUR,MIN
CIPLA,440.75,440.85,444,444.5,436,440.85,2019-10-15 10:50:38,2019-10-15,10,50
TATMOT,125.35,127.8,127.5,127.5,124.5,127.8,2019-10-15 10:50:38,2019-10-15,10,50
ZEEENT,244.3,242.55,237.95,244.7,234.85,242.55,2019-10-15 10:50:38,2019-10-15,10,50
YESBAN,40.35,40,41,41.4,40.05,40,2019-10-15 10:50:38,2019-10-15,10,50
BSESEN,38443.43,38214.47,38316.49,38469.48,38238.27,38214.47,2019-10-15 11:22:02,2019-10-15,11,22
HDFBAN,1215.3,1203.15,1210,1218.5,1207.3,1203.15,2019-10-15 11:22:02,2019-10-15,11,22
RELPET,131.5,130.85,129,132.4,127.9,130.85,2019-10-15 11:22:02,2019-10-15,11,22
HDFC,2020.95,2011.5,2013,2030.05,2013,2011.5,2019-10-15 11:22:02,2019-10-15,11,22
INFTEC,771.25,785.65,773.8,774.75,765,785.65,2019-10-15 11:22:02,2019-10-15,11,22
ICIBAN,430.75,428.6,430,433.2,428,428.6,2019-10-15 11:22:02,2019-10-15,11,22
ITC,247.6,244.2,247.4,247.75,245.1,244.2,2019-10-15 11:22:02,2019-10-15,11,22
TCS,2040,2020.95,2028.8,2046.9,2024.2,2020.95,2019-10-15 11:22:02,2019-10-15,11,22
KOTMAH,1610.85,1583.75,1586,1615.8,1577.8,1583.75,2019-10-15 11:22:02,2019-10-15,11,22
LARTOU,1437.5,1422.65,1427,1445.1,1421,1422.65,2019-10-15 11:22:02,2019-10-15,11,22
HINLEV,2041,2014.7,2052,2052.9,2026.75,2014.7,2019-10-15 11:22:02,2019-10-15,11,22
AXIBAN,688,683.55,683.65,690.35,681.8,683.55,2019-10-15 11:22:02,2019-10-15,11,22
STABAN,257,255.45,256.8,257.5,255.65,255.45,2019-10-15 11:22:02,2019-10-15,11,22
BAJFI,3891.4,3881.65,3909,3916.75,3871.2,3881.65,2019-10-15 11:22:02,2019-10-15,11,22
MARUTI,7008,6819.55,6829,7015.35,6810,6819.55,2019-10-15 11:22:02,2019-10-15,11,22
INDBA,1256.55,1250.5,1251.55,1262.4,1237,1250.5,2019-10-15 11:22:02,2019-10-15,11,22
ASIPAI,1814,1797.65,1797,1824.15,1797,1797.65,2019-10-15 11:22:02,2019-10-15,11,22
BHAAIR,385.55,393.5,391.95,391.95,384.5,393.5,2019-10-15 11:22:02,2019-10-15,11,22
HCLTEC,1090.2,1087.05,1088.6,1099,1081.05,1087.05,2019-10-15 11:22:02,2019-10-15,11,22
TITIND,1261.95,1249.05,1251,1265,1251,1249.05,2019-10-15 11:22:02,2019-10-15,11,22
MAHMAH,577.25,568.5,570,577.85,565.5,568.5,2019-10-15 11:22:02,2019-10-15,11,22
BAFINS,8079,8073.45,8108.95,8131.45,8070,8073.45,2019-10-15 11:22:02,2019-10-15,11,22
NTPC,119.05,117.8,117.7,119.7,117.35,117.8,2019-10-15 11:22:02,2019-10-15,11,22
NESIND,14052.35,14174.1,14175,14175,14040,14174.1,2019-10-15 11:22:02,2019-10-15,11,22
POWGRI,200.65,198.45,198.8,200.8,198.45,198.45,2019-10-15 11:22:02,2019-10-15,11,22
ULTCEM,4180.05,4171.9,4121.35,4207.65,4121.35,4171.9,2019-10-15 11:22:02,2019-10-15,11,22
TECMAH,720,720.6,721,728,720,720.6,2019-10-15 11:22:02,2019-10-15,11,22
SUNPHA,396.55,394.6,397.25,400,394.9,394.6,2019-10-15 11:22:02,2019-10-15,11,22
ONGC,136.65,135.2,136.6,138,135.4,135.2,2019-10-15 11:22:02,2019-10-15,11,22
BAAUTO,2997.95,2956.05,2959,3002,2956.5,2956.05,2019-10-15 11:22:02,2019-10-15,11,22
BHARAS,5815,5767.35,5773.85,5827,5773.85,5767.35,2019-10-15 11:22:02,2019-10-15,11,22
INDOIL,147.1,144.8,145.95,148.3,145.2,144.8,2019-10-15 11:22:02,2019-10-15,11,22
COALIN,190.35,190.1,188.3,190.85,188.1,190.1,2019-10-15 11:22:02,2019-10-15,11,22
WIPRO,239.65,243.35,244,245.5,239.2,243.35,2019-10-15 11:22:02,2019-10-15,11,22
HERHON,2687.95,2609.25,2616.85,2694,2615,2609.25,2019-10-15 11:22:02,2019-10-15,11,22
BRIIND,3128,3107.2,3139.9,3154.2,3115.45,3107.2,2019-10-15 11:22:02,2019-10-15,11,22
UNIP,588.25,586.95,585.3,590.95,580.95,586.95,2019-10-15 11:22:02,2019-10-15,11,22
DRREDD,2685,2648.9,2663.1,2685.5,2659.8,2648.9,2019-10-15 11:22:02,2019-10-15,11,22
ADAPOR,411.45,406.95,409.5,411.85,407.6,406.95,2019-10-15 11:22:02,2019-10-15,11,22
GRASIM,701.9,698.65,699,704,691.95,698.65,2019-10-15 11:22:02,2019-10-15,11,22
VEDLIM,146.15,147.85,147.5,147.5,144.6,147.85,2019-10-15 11:22:02,2019-10-15,11,22
HINDAL,187.55,188.8,188,188,186,188.8,2019-10-15 11:22:02,2019-10-15,11,22
TATSTE,342,344.85,345.5,346.15,339.55,344.85,2019-10-15 11:22:02,2019-10-15,11,22
EICMOT,19186.6,18311.25,18370,19200,18270,18311.25,2019-10-15 11:22:02,2019-10-15,11,22
GAIL,126.2,125.85,126.5,126.85,125.6,125.85,2019-10-15 11:22:02,2019-10-15,11,22
JSWSTE,216.1,221.5,221.05,221.05,214.5,221.5,2019-10-15 11:22:02,2019-10-15,11,22
BHAINF,257.1,259.25,258.25,258.3,255.45,259.25,2019-10-15 11:22:02,2019-10-15,11,22
CIPLA,443,440.85,444,444.5,436,440.85,2019-10-15 11:22:02,2019-10-15,11,22
TATMOT,126.15,127.8,127.5,127.5,124.5,127.8,2019-10-15 11:22:02,2019-10-15,11,22
ZEEENT,247,242.55,237.95,247.25,234.85,242.55,2019-10-15 11:22:02,2019-10-15,11,22
